ID,Title,Category,Asset,Base Risk,Final Risk,Score (0-100),Tier,Recommendation,Confidence
INC-00033,Scanning activity detected from external source,Network,Public Infrastructure,100,151.01,100.0,Critical,Review security controls and apply appropriate mitigations.,0.88
INC-00006,Ransomware-like behavior observed on endpoint,Endpoint,Workstations,80,116.69,77.27,High,Review security controls and apply appropriate mitigations.,0.85
INC-00028,Suspicious elevation of privileges observed,IAM,Directory Services,75,113.26,75.0,High,Review security controls and apply appropriate mitigations.,0.88
INC-00017,Suspicious reconnaissance behavior observed,Network,Public Infrastructure,75,110.68,73.3,High,Review security controls and apply appropriate mitigations.,0.86
INC-00080,Ransomware-like behavior observed on endpoint,Endpoint,Workstations,80,103.58,68.6,High,Review security controls and apply appropriate mitigations.,0.83
INC-00024,Ransomware-like behavior observed on endpoint,Endpoint,Workstations,75,102.96,68.18,High,Review security controls and apply appropriate mitigations.,0.8
INC-00088,Suspicious lateral movement within network,Network,Corporate Network,80,102.96,68.18,High,Review security controls and apply appropriate mitigations.,0.9
INC-00096,Suspicious activity targeting web application,AppSec,Web Application,100,101.53,67.23,High,Review security controls and apply appropriate mitigations.,0.71
INC-00021,Unusual internal network activity observed,Network,Corporate Network,100,100.46,66.53,High,Review security controls and apply appropriate mitigations.,0.92
INC-00037,Suspicious file encryption activity detected,Endpoint,Workstations,80,99.53,65.91,High,Review security controls and apply appropriate mitigations.,0.87
INC-00004,Abnormal authentication behavior detected,IAM,Identity Platform,60,93.69,62.05,High,Review security controls and apply appropriate mitigations.,0.91
INC-00055,Unauthorized privilege escalation attempt detected,IAM,Directory Services,80,91.87,60.84,High,Review security controls and apply appropriate mitigations.,0.87
INC-00100,Potential data exfiltration activity observed,Data,Customer Data,60,88.55,58.64,Medium,Review security controls and apply appropriate mitigations.,0.86
INC-00035,Unusual internal network activity observed,Network,Corporate Network,80,86.59,57.34,Medium,Review security controls and apply appropriate mitigations.,0.82
INC-00039,Suspicious file encryption activity detected,Endpoint,Workstations,75,85.41,56.56,Medium,Review security controls and apply appropriate mitigations.,0.73
INC-00060,Suspicious credential usage observed,IAM,Identity Platform,60,85.18,56.4,Medium,Review security controls and apply appropriate mitigations.,0.91
INC-00025,Suspicious file encryption activity detected,Endpoint,Workstations,60,83.4,55.23,Medium,Review security controls and apply appropriate mitigations.,0.81
INC-00094,Exploit attempt against public web service,AppSec,Web Application,60,82.37,54.55,Medium,Review security controls and apply appropriate mitigations.,0.8
INC-00013,Exploit attempt against public web service,AppSec,Web Application,100,81.9,54.24,Medium,Review security controls and apply appropriate mitigations.,0.75
INC-00045,Suspicious credential usage observed,IAM,Identity Platform,60,80.65,53.41,Medium,Review security controls and apply appropriate mitigations.,0.94
INC-00072,Suspicious elevation of privileges observed,IAM,Directory Services,80,80.08,53.03,Medium,Review security controls and apply appropriate mitigations.,0.77
INC-00018,Suspicious credential usage observed,IAM,Identity Platform,60,79.56,52.69,Medium,Review security controls and apply appropriate mitigations.,0.85
INC-00079,Ransomware-like behavior observed on endpoint,Endpoint,Workstations,80,78.62,52.07,Medium,Review security controls and apply appropriate mitigations.,0.9
INC-00008,Abnormal authentication behavior detected,IAM,Identity Platform,50,74.65,49.43,Medium,Review security controls and apply appropriate mitigations.,0.87
INC-00052,Suspicious activity targeting web application,AppSec,Web Application,60,72.07,47.73,Medium,Review security controls and apply appropriate mitigations.,0.91
